Student ID,Program/Major,Minor,Degree Type,Academic Level,Enrollment Status,GPA (Cumulative),GPA (Term),Academic Standing,Course Enrollments,Course Completion Status,Credit Hours Earned,Credit Hours Attempted,Transfer Credits,Start Date,Expected Graduation Date,Actual Graduation Date,Graduation Status,Advisor Name,Department,School/College,Degree Progress (%),Academic Term/Session,Term Start Date,Term End Date,Class Schedule,Attendance Record,Exam Scores,Assignment Grades,Final Grades,Course Evaluations,Course Mode,Course Section,Curriculum Version,Registration Status,Holds on Account,Thesis/Capstone Title,Internship/Co-op Participation,Remedial Courses,Honor Roll/Dean’s List,Academic Advisor Meetings,Class Rank,Prerequisite Courses Completed,Academic Goals,Study Abroad Participation,Certification(s) Earned,Learning Outcomes Achieved,Competency Badges,Class Participation Score,Online Learning Engagement (LMS Activity Score)
S011,Computer Science,Mathematics,BA,undergrad,full-time,2.83,2.78,Probation,"Course11, Course12, Course13",Completed,41,44,3,8/25/20,5/15/24,,In Progress,Dr. Smith,Computer Science,College of Engineering,92,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,86,71,76,A,Excellent,Online,Section 1,v2021,Registered,Financial,Capstone Project for Computer Science S011,FALSE,None,FALSE,2,40,FALSE,Achieve academic excellence 11,FALSE,None,Outcomes achieved for student S011,"Badge2, Badge2",81,71
S012,Business Administration,Economics,BS,undergrad,full-time,2.86,2.81,Probation,"Course12, Course13, Course14",Completed,42,45,0,8/26/20,5/15/24,,In Progress,Dr. Johnson,Business Administration,School of Business,94,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,87,72,77,B,Good,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Business Administration S012,TRUE,None,FALSE,3,39,FALSE,Achieve academic excellence 12,FALSE,None,Outcomes achieved for student S012,"Badge3, Badge3",82,72
S013,Psychology,Statistics,MBA,undergrad,full-time,2.89,2.84,Good,"Course13, Course14, Course15",Dropped,43,46,1,8/27/20,5/15/24,,In Progress,Dr. Williams,Psychology,College of Arts and Sciences,96,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,88,73,78,C,Average,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Psychology S013,FALSE,None,TRUE,4,38,TRUE,Achieve academic excellence 13,FALSE,None,Outcomes achieved for student S013,"Badge1, Badge4",83,73
S014,Biology,None,BA,undergrad,part-time,2.92,2.87,Good,"Course14, Course15, Course16",Completed,44,47,2,8/28/20,5/15/24,,In Progress,Dr. Brown,Biology,College of Arts and Sciences,98,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,89,74,79,B,Poor,Online,Section 4,v2021,Registered,Financial,Capstone Project for Biology S014,TRUE,None,FALSE,5,37,FALSE,Achieve academic excellence 14,FALSE,None,Outcomes achieved for student S014,"Badge2, Badge1",84,74
S015,Engineering,Philosophy,BS,undergrad,full-time,2.95,2.9,Good,"Course15, Course16, Course17",Completed,45,48,3,8/29/20,5/15/24,,In Progress,Dr. Jones,Engineering,College of Engineering,100,Spring 2021,1/15/21,5/1/21,MWF 9:00-10:00,90,75,80,A,Excellent,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Engineering S015,FALSE,None,TRUE,1,36,FALSE,Achieve academic excellence 15,FALSE,Certification 1,Outcomes achieved for student S015,"Badge3, Badge2",85,75
S016,Art History,English,BA,undergrad,full-time,2.98,2.93,Good,"Course16, Course17, Course18",Completed,46,49,0,8/30/20,5/15/24,,In Progress,Dr. Smith,Art History,College of Arts and Sciences,100,Summer 2021,6/1/21,8/15/21,TTh 10:00-11:30,91,76,81,A,Good,Online,Section 1,v2021,Registered,Financial,Capstone Project for Art History S016,TRUE,None,FALSE,2,35,FALSE,Achieve academic excellence 16,FALSE,None,Outcomes achieved for student S016,"Badge1, Badge3",86,76
S017,Mathematics,History,BS,undergrad,part-time,3.01,2.96,Good,"Course17, Course18, Course19",Completed,47,50,1,8/31/20,5/15/24,,In Progress,Dr. Johnson,Mathematics,College of Engineering,100,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,92,77,82,B,Average,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Mathematics S017,FALSE,None,FALSE,3,34,TRUE,Achieve academic excellence 17,FALSE,None,Outcomes achieved for student S017,"Badge2, Badge4",87,77
S018,Economics,None,MBA,undergrad,full-time,3.04,2.99,Good,"Course18, Course19, Course20",Completed,48,51,2,9/1/20,5/15/24,,In Progress,Dr. Williams,Economics,School of Business,100,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,93,78,83,C,Poor,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Economics S018,TRUE,None,FALSE,4,33,FALSE,Achieve academic excellence 18,FALSE,Certification 2,Outcomes achieved for student S018,"Badge3, Badge1",88,78
S019,Sociology,Environmental Science,BA,undergrad,full-time,3.07,3.02,Good,"Course19, Course20, Course21",Completed,49,52,3,9/2/20,5/15/24,,In Progress,Dr. Brown,Sociology,College of Arts and Sciences,100,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,94,79,84,B,Excellent,Online,Section 4,v2021,Registered,Financial,Capstone Project for Sociology S019,TRUE,None,TRUE,5,32,FALSE,Achieve academic excellence 19,FALSE,Certification 3,Outcomes achieved for student S019,"Badge1, Badge2",89,79
S020,Political Science,Communication,BS,undergrad,part-time,3.1,3.05,Good,"Course20, Course21, Course22",Completed,50,53,0,9/3/20,5/15/24,,In Progress,Dr. Jones,Political Science,College of Arts and Sciences,100,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,95,80,85,A,Good,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Political Science S020,FALSE,None,FALSE,1,31,FALSE,Achieve academic excellence 20,FALSE,None,Outcomes achieved for student S020,"Badge2, Badge3",90,80
S021,Computer Science,Mathematics,BA,undergrad,full-time,3.13,3.08,Good,"Course21, Course22, Course23",Completed,51,54,1,9/4/20,5/15/24,,In Progress,Dr. Smith,Computer Science,College of Engineering,52,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,85,70,75,A,Excellent,Online,Section 1,v2021,Registered,Financial,Capstone Project for Computer Science S021,FALSE,None,FALSE,2,30,FALSE,Achieve academic excellence 21,FALSE,None,Outcomes achieved for student S021,"Badge2, Badge2",80,70
S022,Business Administration,Economics,BS,undergrad,full-time,3.16,3.11,Good,"Course22, Course23, Course24",Completed,52,55,2,9/5/20,5/15/24,,In Progress,Dr. Johnson,Business Administration,School of Business,54,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,86,71,76,B,Good,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Business Administration S022,TRUE,None,FALSE,3,29,FALSE,Achieve academic excellence 22,FALSE,None,Outcomes achieved for student S022,"Badge3, Badge3",81,71
S023,Psychology,Statistics,MBA,undergrad,full-time,3.19,3.14,Good,"Course23, Course24, Course25",Dropped,53,56,3,9/6/20,5/15/24,,In Progress,Dr. Williams,Psychology,College of Arts and Sciences,56,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,87,72,77,C,Average,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Psychology S023,FALSE,None,TRUE,4,28,TRUE,Achieve academic excellence 23,FALSE,None,Outcomes achieved for student S023,"Badge1, Badge4",82,72
S024,Biology,None,BA,undergrad,part-time,3.22,3.17,Good,"Course24, Course25, Course26",Completed,54,57,0,9/7/20,5/15/24,,In Progress,Dr. Brown,Biology,College of Arts and Sciences,58,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,88,73,78,B,Poor,Online,Section 4,v2021,Registered,Financial,Capstone Project for Biology S024,TRUE,None,FALSE,5,27,FALSE,Achieve academic excellence 24,FALSE,None,Outcomes achieved for student S024,"Badge2, Badge1",83,73
S025,Engineering,Philosophy,BS,undergrad,full-time,3.25,3.2,Good,"Course25, Course26, Course27",Completed,55,58,1,9/8/20,5/15/24,,In Progress,Dr. Jones,Engineering,College of Engineering,60,Spring 2021,1/15/21,5/1/21,MWF 9:00-10:00,89,74,79,A,Excellent,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Engineering S025,FALSE,None,TRUE,1,26,FALSE,Achieve academic excellence 25,FALSE,Certification 1,Outcomes achieved for student S025,"Badge3, Badge2",84,74
S026,Art History,English,BA,undergrad,full-time,3.28,3.23,Good,"Course26, Course27, Course28",Completed,56,59,2,9/9/20,5/15/24,,In Progress,Dr. Smith,Art History,College of Arts and Sciences,62,Summer 2021,6/1/21,8/15/21,TTh 10:00-11:30,90,75,80,A,Good,Online,Section 1,v2021,Registered,Financial,Capstone Project for Art History S026,TRUE,None,FALSE,2,25,FALSE,Achieve academic excellence 26,FALSE,None,Outcomes achieved for student S026,"Badge1, Badge3",85,75
S027,Mathematics,History,BS,undergrad,part-time,3.31,3.26,Good,"Course27, Course28, Course29",Completed,57,60,3,9/10/20,5/15/24,,In Progress,Dr. Johnson,Mathematics,College of Engineering,64,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,91,76,81,B,Average,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Mathematics S027,FALSE,None,FALSE,3,24,TRUE,Achieve academic excellence 27,FALSE,None,Outcomes achieved for student S027,"Badge2, Badge4",86,76
S028,Economics,None,MBA,undergrad,full-time,3.34,3.29,Good,"Course28, Course29, Course30",Completed,58,61,0,9/11/20,5/15/24,,In Progress,Dr. Williams,Economics,School of Business,66,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,92,77,82,C,Poor,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Economics S028,TRUE,None,FALSE,4,23,FALSE,Achieve academic excellence 28,FALSE,Certification 2,Outcomes achieved for student S028,"Badge3, Badge1",87,77
S029,Sociology,Environmental Science,BA,undergrad,full-time,3.37,3.32,Good,"Course29, Course30, Course31",Completed,59,62,1,9/12/20,5/15/24,,In Progress,Dr. Brown,Sociology,College of Arts and Sciences,68,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,93,78,83,B,Excellent,Online,Section 4,v2021,Registered,Financial,Capstone Project for Sociology S029,TRUE,None,TRUE,5,22,FALSE,Achieve academic excellence 29,FALSE,Certification 3,Outcomes achieved for student S029,"Badge1, Badge2",88,78
S030,Political Science,Communication,BS,undergrad,part-time,3.4,3.35,Good,"Course30, Course31, Course32",Completed,60,63,2,9/13/20,5/15/24,,In Progress,Dr. Jones,Political Science,College of Arts and Sciences,70,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,94,79,84,A,Good,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Political Science S030,FALSE,None,FALSE,1,21,FALSE,Achieve academic excellence 30,FALSE,None,Outcomes achieved for student S030,"Badge2, Badge3",89,79
S031,Computer Science,Mathematics,BA,undergrad,full-time,3.43,3.38,Good,"Course31, Course32, Course33",Completed,61,64,3,9/14/20,5/15/24,,In Progress,Dr. Smith,Computer Science,College of Engineering,72,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,85,70,75,A,Excellent,Online,Section 1,v2021,Registered,Financial,Capstone Project for Computer Science S031,FALSE,None,FALSE,2,20,FALSE,Achieve academic excellence 31,FALSE,None,Outcomes achieved for student S031,"Badge2, Badge2",80,70
S032,Business Administration,Economics,BS,undergrad,full-time,3.46,3.41,Good,"Course32, Course33, Course34",Completed,62,65,0,9/15/20,5/15/24,,In Progress,Dr. Johnson,Business Administration,School of Business,74,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,86,71,76,B,Good,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Business Administration S032,TRUE,None,FALSE,3,19,FALSE,Achieve academic excellence 32,FALSE,None,Outcomes achieved for student S032,"Badge3, Badge3",81,71
S033,Psychology,Statistics,MBA,undergrad,full-time,3.49,3.44,Good,"Course33, Course34, Course35",Dropped,63,66,1,9/16/20,5/15/24,,In Progress,Dr. Williams,Psychology,College of Arts and Sciences,76,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,87,72,77,C,Average,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Psychology S033,FALSE,None,TRUE,4,18,TRUE,Achieve academic excellence 33,FALSE,None,Outcomes achieved for student S033,"Badge1, Badge4",82,72
S034,Biology,None,BA,undergrad,part-time,3.52,3.47,Good,"Course34, Course35, Course36",Completed,64,67,2,9/17/20,5/15/24,,In Progress,Dr. Brown,Biology,College of Arts and Sciences,78,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,88,73,78,B,Poor,Online,Section 4,v2021,Registered,Financial,Capstone Project for Biology S034,TRUE,None,FALSE,5,17,FALSE,Achieve academic excellence 34,FALSE,None,Outcomes achieved for student S034,"Badge2, Badge1",83,73
S035,Engineering,Philosophy,BS,undergrad,full-time,3.55,3.5,Good,"Course35, Course36, Course37",Completed,65,68,3,9/18/20,5/15/24,,In Progress,Dr. Jones,Engineering,College of Engineering,80,Spring 2021,1/15/21,5/1/21,MWF 9:00-10:00,89,74,79,A,Excellent,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Engineering S035,FALSE,None,TRUE,1,16,FALSE,Achieve academic excellence 35,FALSE,Certification 1,Outcomes achieved for student S035,"Badge3, Badge2",84,74
S036,Art History,English,BA,undergrad,full-time,3.58,3.53,Good,"Course36, Course37, Course38",Completed,66,69,0,9/19/20,5/15/24,,In Progress,Dr. Smith,Art History,College of Arts and Sciences,82,Summer 2021,6/1/21,8/15/21,TTh 10:00-11:30,90,75,80,A,Good,Online,Section 1,v2021,Registered,Financial,Capstone Project for Art History S036,TRUE,None,FALSE,2,15,FALSE,Achieve academic excellence 36,FALSE,None,Outcomes achieved for student S036,"Badge1, Badge3",85,75
S037,Mathematics,History,BS,undergrad,part-time,3.61,3.56,Good,"Course37, Course38, Course39",Completed,67,70,1,9/20/20,5/15/24,,In Progress,Dr. Johnson,Mathematics,College of Engineering,84,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,91,76,81,B,Average,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Mathematics S037,FALSE,None,FALSE,3,14,TRUE,Achieve academic excellence 37,FALSE,None,Outcomes achieved for student S037,"Badge2, Badge4",86,76
S038,Economics,None,MBA,undergrad,full-time,3.64,3.59,Good,"Course38, Course39, Course40",Completed,68,71,2,9/21/20,5/15/24,,In Progress,Dr. Williams,Economics,School of Business,86,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,92,77,82,C,Poor,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Economics S038,TRUE,None,FALSE,4,13,FALSE,Achieve academic excellence 38,FALSE,Certification 2,Outcomes achieved for student S038,"Badge3, Badge1",87,77
S039,Sociology,Environmental Science,BA,undergrad,full-time,3.67,3.62,Good,"Course39, Course40, Course41",Completed,69,72,3,9/22/20,5/15/24,,In Progress,Dr. Brown,Sociology,College of Arts and Sciences,88,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,93,78,83,B,Excellent,Online,Section 4,v2021,Registered,Financial,Capstone Project for Sociology S039,TRUE,None,TRUE,5,12,FALSE,Achieve academic excellence 39,FALSE,Certification 3,Outcomes achieved for student S039,"Badge1, Badge2",88,78
S040,Political Science,Communication,BS,undergrad,part-time,3.7,3.65,Good,"Course40, Course41, Course42",Completed,70,73,0,9/23/20,5/15/24,,In Progress,Dr. Jones,Political Science,College of Arts and Sciences,90,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,94,79,84,A,Good,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Political Science S040,FALSE,None,FALSE,1,11,FALSE,Achieve academic excellence 40,FALSE,None,Outcomes achieved for student S040,"Badge2, Badge3",89,79
S041,Computer Science,Mathematics,BA,graduate,full-time,3.73,3.68,Good,"Course41, Course42, Course43",Completed,71,74,1,9/24/20,12/15/22,,In Progress,Dr. Smith,Computer Science,College of Engineering,73,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,85,70,75,A,Excellent,Online,Section 1,v2021,Registered,Financial,Thesis on Computer Science S041,FALSE,None,FALSE,2,10,FALSE,Achieve academic excellence 41,FALSE,None,Outcomes achieved for student S041,"Badge2, Badge2",80,70
S042,Business Administration,Economics,BS,graduate,full-time,3.76,3.71,Good,"Course42, Course43, Course44",Completed,72,75,2,9/25/20,12/15/22,,In Progress,Dr. Johnson,Business Administration,School of Business,76,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,86,71,76,B,Good,In-person,Section 2,v2022,Waitlisted,None,Thesis on Business Administration S042,TRUE,None,FALSE,3,9,FALSE,Achieve academic excellence 42,FALSE,Certification 1,Outcomes achieved for student S042,"Badge3, Badge3",81,71
S043,Psychology,Statistics,MBA,graduate,full-time,3.79,3.74,Good,"Course43, Course44, Course45",Dropped,73,76,3,9/26/20,12/15/22,,In Progress,Dr. Williams,Psychology,College of Arts and Sciences,79,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,87,72,77,C,Average,Hybrid,Section 3,v2020,Dropped,Financial,Thesis on Psychology S043,FALSE,None,TRUE,4,8,TRUE,Achieve academic excellence 43,FALSE,None,Outcomes achieved for student S043,"Badge1, Badge4",82,72
S044,Biology,None,BA,graduate,part-time,3.82,3.77,Good,"Course44, Course45, Course46",Completed,74,77,0,9/27/20,12/15/22,,In Progress,Dr. Brown,Biology,College of Arts and Sciences,82,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,88,73,78,B,Poor,Online,Section 4,v2021,Registered,Financial,Thesis on Biology S044,TRUE,None,FALSE,5,7,FALSE,Achieve academic excellence 44,FALSE,None,Outcomes achieved for student S044,"Badge2, Badge1",83,73
S045,Engineering,Philosophy,BS,graduate,full-time,3.85,3.8,Good,"Course45, Course46, Course47",Completed,75,78,1,9/28/20,12/15/22,,In Progress,Dr. Jones,Engineering,College of Engineering,85,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,89,74,79,A,Excellent,In-person,Section 5,v2022,Waitlisted,None,Thesis on Engineering S045,FALSE,None,TRUE,1,6,FALSE,Achieve academic excellence 45,FALSE,Certification 1,Outcomes achieved for student S045,"Badge3, Badge2",84,74
S046,Art History,English,BA,graduate,full-time,3.88,3.83,Good,"Course46, Course47, Course48",Completed,76,79,2,9/29/20,12/15/22,,In Progress,Dr. Smith,Art History,College of Arts and Sciences,88,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,90,75,80,A,Good,Online,Section 1,v2021,Registered,Financial,Thesis on Art History S046,TRUE,None,FALSE,2,5,FALSE,Achieve academic excellence 46,FALSE,None,Outcomes achieved for student S046,"Badge1, Badge3",85,75
S047,Mathematics,History,BS,graduate,part-time,3.91,3.86,Good,"Course47, Course48, Course49",Completed,77,80,3,9/30/20,12/15/22,,In Progress,Dr. Johnson,Mathematics,College of Engineering,90,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,91,76,81,B,Average,In-person,Section 2,v2022,Waitlisted,None,Thesis on Mathematics S047,FALSE,None,FALSE,3,4,TRUE,Achieve academic excellence 47,FALSE,None,Outcomes achieved for student S047,"Badge2, Badge4",86,76
S048,Economics,None,MBA,graduate,full-time,3.94,3.89,Good,"Course48, Course49, Course50",Completed,78,81,0,10/1/20,12/15/22,,In Progress,Dr. Williams,Economics,School of Business,92,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,92,77,82,C,Poor,Hybrid,Section 3,v2020,Dropped,Financial,Thesis on Economics S048,TRUE,None,FALSE,4,3,FALSE,Achieve academic excellence 48,FALSE,Certification 2,Outcomes achieved for student S048,"Badge3, Badge1",87,77
S049,Sociology,Environmental Science,BA,graduate,full-time,3.97,3.92,Good,"Course49, Course50, Course51",Completed,79,82,1,10/2/20,12/15/22,,In Progress,Dr. Brown,Sociology,College of Arts and Sciences,94,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,93,78,83,B,Excellent,Online,Section 4,v2021,Registered,Financial,Thesis on Sociology S049,TRUE,None,TRUE,5,2,FALSE,Achieve academic excellence 49,FALSE,Certification 3,Outcomes achieved for student S049,"Badge1, Badge2",88,78
S050,Political Science,Communication,BS,graduate,part-time,4,3.95,Good,"Course50, Course51, Course52",Completed,80,83,2,10/3/20,12/15/22,,In Progress,Dr. Jones,Political Science,College of Arts and Sciences,100,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,94,79,84,A,Good,In-person,Section 5,v2022,Waitlisted,None,Thesis on Political Science S050,FALSE,None,FALSE,1,1,FALSE,Achieve academic excellence 50,FALSE,None,Outcomes achieved for student S050,"Badge2, Badge3",89,79
