Student ID Number,Username,Password Reset Status,Enrollment Date,Orientation Attendance,Preferred Learning Style,"Technology Access (e.g., laptop, Wi-Fi)",LMS Access Logs,Mobile App Usage,Chatbot Interactions,Login Frequency,"Student Type (e.g., domestic, international)",First-generation College Student,Participation in Student Organizations,Club Memberships,Leadership Roles,Campus Housing Status,Meal Plan,Commuter or Resident,Transportation Access,ID Card Status,Disciplinary Records,Code of Conduct Agreement,Learning Accommodations,Communication Preferences,Digital Literacy Score,Virtual Office Hours Attendance,Peer Mentoring Participation,Student Satisfaction Survey Results,Peer Tutoring Participation,Group Project Participation,Library Usage,Student Portal Usage,Participation in DEI Programs,Online Course Feedback,Campus Event Attendance,Social Media Engagement,Mobile Device Registered,AI Chat Assistant Usage,Study Group Involvement,Roommate Information,Campus Jobs Held,Textbook Purchases,Class Withdrawal History,Survey Participation,System Notifications Received,Device Login Location,Digital Footprint Score,Advisor Meeting Notes,Institutional Loyalty Score
S0011,jsmith,FALSE,8/25/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,75,65,25,30,Domestic,FALSE,Active in Student Council,Chess Club,President,On‑Campus,Partial,Resident,Car,Inactive,None,TRUE,Extended Time,Phone,85,3,TRUE,Satisfied,FALSE,TRUE,20,60,TRUE,Neutral,2,150,TRUE,10,FALSE,Roommate: Jane Smith,1/0/00,4,None,TRUE,15,Off‑Campus,90,Met with advisor on 2022-08-25,100
S0012,kscott,TRUE,8/26/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,80,70,27,32,International,TRUE,Member of Debate Club,Robotics Club,Vice President,Off‑Campus,Partial,Commuter,Bike,Inactive,None,TRUE,Not Applicable,In‑person,86,4,FALSE,Neutral,TRUE,FALSE,21,61,FALSE,Negative,3,155,FALSE,11,TRUE,Roommate: Bob Brown,1/1/00,2,None,FALSE,16,Remote,91,Met with advisor on 2022-08-26,101
S0013,lrobinson,FALSE,8/27/22,TRUE,Visual,Laptop and Wi‑Fi,85,75,29,34,Domestic,FALSE,Active in Volunteer Club,Drama Club,Member,On‑Campus,None,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Standard,Phone,87,3,TRUE,Neutral,FALSE,TRUE,22,62,TRUE,Positive,2,160,TRUE,12,FALSE,Roommate: Carol Davis,1/0/00,4,None,TRUE,17,On‑Campus,92,Met with advisor on 2022-08-27,102
S0014,mthompson,TRUE,8/28/22,FALSE,Auditory,Desktop and Wi‑Fi,90,80,31,36,International,TRUE,Member of Science Club,Art Club,Secretary,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Extended Time,SMS,88,4,FALSE,Dissatisfied,TRUE,FALSE,23,63,FALSE,Neutral,3,165,FALSE,13,TRUE,Roommate: David Miller,1/1/00,3,None,FALSE,18,Off‑Campus,93,Met with advisor on 2022-08-28,103
S0015,nlewis,FALSE,8/29/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,95,85,33,38,Domestic,FALSE,None,None,None,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Inactive,None,TRUE,Not Applicable,In‑person,89,3,TRUE,Very Dissatisfied,FALSE,TRUE,24,64,TRUE,Negative,2,170,TRUE,14,FALSE,Roommate: None,1/0/00,2,None,TRUE,19,Remote,94,Met with advisor on 2022-08-29,104
S0016,oparker,TRUE,8/30/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,100,90,35,40,International,TRUE,Active in Student Council,Chess Club,President,Off‑Campus,None,Commuter,Public Transit,Inactive,None,TRUE,Standard,SMS,90,4,FALSE,Very Satisfied,TRUE,FALSE,25,65,FALSE,Positive,3,175,FALSE,15,TRUE,Roommate: Jane Smith,1/1/00,3,None,FALSE,20,On‑Campus,95,Met with advisor on 2022-08-30,105
S0017,prodriguez,FALSE,8/31/22,TRUE,Visual,Laptop and Wi‑Fi,105,95,37,42,Domestic,FALSE,Member of Debate Club,Robotics Club,Vice President,On‑Campus,Partial,Resident,Car,Pending,None,TRUE,Extended Time,Phone,91,3,TRUE,Satisfied,FALSE,TRUE,26,66,TRUE,Neutral,2,180,TRUE,16,FALSE,Roommate: Bob Brown,1/0/00,4,None,TRUE,21,Remote,96,Met with advisor on 2022-08-31,106
S0018,qjohnson,TRUE,9/1/22,FALSE,Auditory,Desktop and Wi‑Fi,110,100,39,44,International,TRUE,Active in Volunteer Club,Drama Club,Member,Off‑Campus,Full,Commuter,Bike,Inactive,None,TRUE,Not Applicable,In‑person,92,4,FALSE,Neutral,TRUE,FALSE,27,67,FALSE,Negative,3,185,FALSE,17,TRUE,Roommate: Carol Davis,1/1/00,2,None,FALSE,22,On‑Campus,97,Met with advisor on 2022-09-01,107
S0019,rlopez,FALSE,9/2/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,115,105,41,46,Domestic,FALSE,Member of Science Club,Art Club,Secretary,On‑Campus,None,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Standard,Phone,93,3,TRUE,Dissatisfied,FALSE,TRUE,28,68,TRUE,Positive,2,190,TRUE,18,FALSE,Roommate: David Miller,1/0/00,4,None,TRUE,23,Remote,98,Met with advisor on 2022-09-02,108
S0020,ssanchez,TRUE,9/3/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,120,110,43,48,International,TRUE,None,None,None,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Extended Time,SMS,94,4,FALSE,Very Satisfied,TRUE,FALSE,29,69,FALSE,Neutral,3,195,FALSE,19,TRUE,Roommate: None,1/1/00,3,None,FALSE,24,On‑Campus,99,Met with advisor on 2022-09-03,109
S0021,ttaylor,FALSE,9/4/22,TRUE,Visual,Laptop and Wi‑Fi,125,115,45,50,Domestic,FALSE,Active in Student Council,Chess Club,President,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Inactive,None,TRUE,Standard,Email,95,3,TRUE,Very Satisfied,FALSE,TRUE,30,70,TRUE,Positive,2,200,TRUE,20,FALSE,Roommate: Jane Smith,1/0/00,4,None,TRUE,25,Remote,100,Met with advisor on 2022-09-04,110
S0022,uweaver,TRUE,9/5/22,FALSE,Auditory,Desktop and Wi‑Fi,130,120,47,52,International,TRUE,Member of Debate Club,Robotics Club,Vice President,Off‑Campus,Partial,Commuter,Public Transit,Active,None,TRUE,Not Applicable,SMS,96,4,FALSE,Satisfied,TRUE,FALSE,31,71,FALSE,Neutral,3,205,FALSE,21,TRUE,Roommate: Bob Brown,1/1/00,2,None,FALSE,26,On‑Campus,101,Met with advisor on 2022-09-05,111
S0023,vyoung,FALSE,9/6/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,135,125,49,54,Domestic,FALSE,Active in Volunteer Club,Drama Club,Member,On‑Campus,None,Resident,Car,Pending,None,TRUE,Extended Time,In‑person,97,3,TRUE,Neutral,FALSE,TRUE,32,72,TRUE,Negative,2,210,TRUE,22,FALSE,Roommate: Carol Davis,1/0/00,4,None,TRUE,27,Remote,102,Met with advisor on 2022-09-06,112
S0024,wking,TRUE,9/7/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,140,130,51,56,International,TRUE,Member of Science Club,Art Club,Secretary,Off‑Campus,Full,Commuter,Bike,Inactive,None,TRUE,Standard,Phone,98,4,FALSE,Dissatisfied,TRUE,FALSE,33,73,FALSE,Positive,3,215,FALSE,23,TRUE,Roommate: David Miller,1/1/00,3,None,FALSE,28,On‑Campus,103,Met with advisor on 2022-09-07,113
S0025,xxu,FALSE,9/8/22,TRUE,Visual,Laptop and Wi‑Fi,145,135,53,58,Domestic,FALSE,None,None,None,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Not Applicable,Email,99,3,TRUE,Very Dissatisfied,FALSE,TRUE,34,74,TRUE,Neutral,2,220,TRUE,24,FALSE,Roommate: None,1/0/00,2,None,TRUE,29,Remote,104,Met with advisor on 2022-09-08,114
S0026,yyang,TRUE,9/9/22,FALSE,Auditory,Desktop and Wi‑Fi,150,140,55,60,International,TRUE,Active in Student Council,Chess Club,President,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Extended Time,SMS,100,4,FALSE,Very Satisfied,TRUE,FALSE,35,75,FALSE,Positive,3,225,FALSE,25,TRUE,Roommate: Jane Smith,1/1/00,3,None,FALSE,30,On‑Campus,105,Met with advisor on 2022-09-09,115
S0027,zzhang,FALSE,9/10/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,155,145,57,62,Domestic,FALSE,Member of Debate Club,Robotics Club,Vice President,On‑Campus,None,Resident,Car,Inactive,None,TRUE,Standard,Phone,101,3,TRUE,Satisfied,FALSE,TRUE,36,76,TRUE,Positive,2,230,TRUE,26,FALSE,Roommate: Bob Brown,1/0/00,4,None,TRUE,31,Remote,106,Met with advisor on 2022-09-10,116
S0028,aallen,TRUE,9/11/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,160,150,59,64,International,TRUE,Active in Volunteer Club,Drama Club,Member,Off‑Campus,Partial,Commuter,Bike,Inactive,None,TRUE,Not Applicable,In‑person,102,4,FALSE,Neutral,TRUE,FALSE,37,77,FALSE,Neutral,3,235,FALSE,27,TRUE,Roommate: Carol Davis,1/1/00,2,None,FALSE,32,On‑Campus,107,Met with advisor on 2022-09-11,117
S0029,bclark,FALSE,9/12/22,TRUE,Visual,Laptop and Wi‑Fi,165,155,61,66,Domestic,FALSE,Member of Science Club,Art Club,Secretary,On‑Campus,None,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Extended Time,Email,103,3,TRUE,Dissatisfied,FALSE,TRUE,38,78,TRUE,Negative,2,240,TRUE,28,FALSE,Roommate: David Miller,1/0/00,4,None,TRUE,33,Remote,108,Met with advisor on 2022-09-12,118
S0030,dallen,TRUE,9/13/22,FALSE,Auditory,Desktop and Wi‑Fi,170,160,63,68,International,TRUE,None,None,None,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Standard,SMS,104,4,FALSE,Very Satisfied,TRUE,FALSE,39,79,FALSE,Positive,3,245,FALSE,29,TRUE,Roommate: None,1/1/00,3,None,FALSE,34,On‑Campus,109,Met with advisor on 2022-09-13,119
S0031,ejones,FALSE,9/14/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,175,165,65,70,Domestic,FALSE,Active in Student Council,Chess Club,President,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Inactive,None,TRUE,Not Applicable,Phone,105,3,TRUE,Very Satisfied,FALSE,TRUE,40,80,TRUE,Positive,2,250,TRUE,30,FALSE,Roommate: Jane Smith,1/0/00,4,None,TRUE,35,Remote,110,Met with advisor on 2022-09-14,120
S0032,fmartin,TRUE,9/15/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,180,170,67,72,International,TRUE,Member of Debate Club,Robotics Club,Vice President,Off‑Campus,Partial,Commuter,Bike,Inactive,None,TRUE,Extended Time,SMS,106,4,FALSE,Satisfied,TRUE,FALSE,41,81,FALSE,Neutral,3,255,FALSE,31,TRUE,Roommate: Bob Brown,1/1/00,2,None,FALSE,36,On‑Campus,111,Met with advisor on 2022-09-15,121
S0033,ghall,FALSE,9/16/22,TRUE,Visual,Laptop and Wi‑Fi,185,175,69,74,Domestic,FALSE,Active in Volunteer Club,Drama Club,Member,On‑Campus,None,Resident,Car,Pending,None,TRUE,Standard,Email,107,3,TRUE,Neutral,FALSE,TRUE,42,82,TRUE,Negative,2,260,TRUE,32,FALSE,Roommate: Carol Davis,1/0/00,4,None,TRUE,37,Remote,112,Met with advisor on 2022-09-16,122
S0034,ihill,TRUE,9/17/22,FALSE,Auditory,Desktop and Wi‑Fi,190,180,71,76,International,TRUE,Member of Science Club,Art Club,Secretary,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Not Applicable,In‑person,109,4,FALSE,Dissatisfied,TRUE,FALSE,43,83,FALSE,Positive,3,265,FALSE,33,TRUE,Roommate: David Miller,1/1/00,3,None,FALSE,38,On‑Campus,113,Met with advisor on 2022-09-17,123
S0035,jgreen,FALSE,9/18/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,195,185,73,78,Domestic,FALSE,None,None,None,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Inactive,None,TRUE,Extended Time,Phone,111,3,TRUE,Very Dissatisfied,FALSE,TRUE,44,84,TRUE,Positive,2,270,TRUE,34,FALSE,Roommate: None,1/0/00,2,None,TRUE,39,Remote,114,Met with advisor on 2022-09-18,124
S0036,kmiller,TRUE,9/19/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,200,190,75,80,International,TRUE,Active in Student Council,Chess Club,President,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Standard,SMS,112,4,FALSE,Very Satisfied,TRUE,FALSE,45,85,FALSE,Neutral,3,275,FALSE,35,TRUE,Roommate: Jane Smith,1/1/00,3,None,FALSE,40,On‑Campus,115,Met with advisor on 2022-09-19,125
S0037,lwhite,FALSE,9/20/22,TRUE,Visual,Laptop and Wi‑Fi,205,195,77,82,Domestic,FALSE,Member of Debate Club,Robotics Club,Vice President,On‑Campus,None,Resident,Car,Pending,None,TRUE,Not Applicable,Email,113,3,TRUE,Very Satisfied,FALSE,TRUE,46,86,TRUE,Positive,2,280,TRUE,36,FALSE,Roommate: Bob Brown,1/0/00,4,None,TRUE,41,Remote,116,Met with advisor on 2022-09-20,126
S0038,mroberts,TRUE,9/21/22,FALSE,Auditory,Desktop and Wi‑Fi,210,200,79,84,International,TRUE,Active in Volunteer Club,Drama Club,Member,Off‑Campus,Partial,Commuter,Bike,Inactive,None,TRUE,Extended Time,SMS,114,4,FALSE,Satisfied,TRUE,FALSE,47,87,FALSE,Neutral,3,285,FALSE,37,TRUE,Roommate: Carol Davis,1/1/00,2,None,FALSE,42,On‑Campus,117,Met with advisor on 2022-09-21,127
S0039,nrobinson,FALSE,9/22/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,215,205,81,86,Domestic,FALSE,Member of Science Club,Art Club,Secretary,On‑Campus,None,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Standard,Phone,115,3,TRUE,Dissatisfied,FALSE,TRUE,48,88,TRUE,Negative,2,290,TRUE,38,FALSE,Roommate: David Miller,1/0/00,4,None,TRUE,43,Remote,118,Met with advisor on 2022-09-22,128
S0040,operez,TRUE,9/23/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,220,210,83,88,International,TRUE,None,None,None,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Not Applicable,In‑person,116,4,FALSE,Very Satisfied,TRUE,FALSE,49,89,FALSE,Positive,3,295,FALSE,39,TRUE,Roommate: None,1/1/00,3,None,FALSE,44,On‑Campus,119,Met with advisor on 2022-09-23,129
S0041,ppatel,FALSE,9/24/22,TRUE,Visual,Laptop and Wi‑Fi,225,215,85,90,Domestic,FALSE,Active in Student Council,Chess Club,President,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Inactive,None,TRUE,Extended Time,Email,117,3,TRUE,Very Satisfied,FALSE,TRUE,50,90,TRUE,Positive,2,300,TRUE,40,FALSE,Roommate: Jane Smith,1/0/00,4,None,TRUE,45,Remote,120,Met with advisor on 2022-09-24,130
S0042,qsingh,TRUE,9/25/22,FALSE,Auditory,Desktop and Wi‑Fi,230,220,87,92,International,TRUE,Member of Debate Club,Robotics Club,Vice President,Off‑Campus,Partial,Commuter,Public Transit,Active,None,TRUE,Standard,SMS,118,4,FALSE,Satisfied,TRUE,FALSE,51,91,FALSE,Neutral,3,305,FALSE,41,TRUE,Roommate: Bob Brown,1/1/00,2,None,FALSE,46,On‑Campus,121,Met with advisor on 2022-09-25,131
S0043,rlopez,FALSE,9/26/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,235,225,89,94,Domestic,FALSE,Active in Volunteer Club,Drama Club,Member,On‑Campus,None,Resident,Car,Pending,None,TRUE,Not Applicable,Phone,119,3,TRUE,Neutral,FALSE,TRUE,52,92,TRUE,Negative,2,310,TRUE,42,FALSE,Roommate: Carol Davis,1/0/00,4,None,TRUE,47,Remote,122,Met with advisor on 2022-09-26,132
S0044,sallen,TRUE,9/27/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,240,230,91,96,International,TRUE,Member of Science Club,Art Club,Secretary,Off‑Campus,Full,Commuter,Bike,Inactive,None,TRUE,Extended Time,In‑person,121,4,FALSE,Dissatisfied,TRUE,FALSE,53,93,FALSE,Positive,3,315,FALSE,43,TRUE,Roommate: David Miller,1/1/00,3,None,FALSE,48,On‑Campus,123,Met with advisor on 2022-09-27,133
S0045,tgarcia,FALSE,9/28/22,TRUE,Visual,Laptop and Wi‑Fi,245,235,93,98,Domestic,FALSE,None,None,None,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Not Applicable,Email,123,3,TRUE,Very Dissatisfied,FALSE,TRUE,54,94,TRUE,Positive,2,320,TRUE,44,FALSE,Roommate: None,1/0/00,2,None,TRUE,49,Remote,124,Met with advisor on 2022-09-28,134
S0046,uhernandez,TRUE,9/29/22,FALSE,Auditory,Desktop and Wi‑Fi,250,240,95,100,International,TRUE,Active in Student Council,Chess Club,President,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Extended Time,SMS,124,4,FALSE,Very Satisfied,TRUE,FALSE,55,95,FALSE,Neutral,3,325,FALSE,45,TRUE,Roommate: Jane Smith,1/1/00,3,None,FALSE,50,On‑Campus,125,Met with advisor on 2022-09-29,135
S0047,vcooper,FALSE,9/30/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,255,245,97,102,Domestic,FALSE,Member of Debate Club,Robotics Club,Vice President,On‑Campus,None,Resident,Car,Pending,None,TRUE,Standard,Phone,125,3,TRUE,Satisfied,FALSE,TRUE,56,96,TRUE,Positive,2,330,TRUE,46,FALSE,Roommate: Bob Brown,1/0/00,4,None,TRUE,51,Remote,126,Met with advisor on 2022-09-30,136
S0048,wturner,TRUE,10/1/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,260,250,99,104,International,TRUE,Active in Volunteer Club,Drama Club,Member,Off‑Campus,Partial,Commuter,Bike,Inactive,None,TRUE,Not Applicable,In‑person,127,4,FALSE,Dissatisfied,TRUE,FALSE,57,97,FALSE,Neutral,3,335,FALSE,47,TRUE,Roommate: Carol Davis,1/1/00,2,None,FALSE,52,On‑Campus,127,Met with advisor on 2022-10-01,137
S0049,xevans,FALSE,10/2/22,TRUE,Visual,Laptop and Wi‑Fi,265,255,101,106,Domestic,FALSE,Member of Science Club,Art Club,Secretary,On‑Campus,None,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Extended Time,Email,129,3,TRUE,Dissatisfied,FALSE,TRUE,58,98,TRUE,Negative,2,340,TRUE,48,FALSE,Roommate: David Miller,1/0/00,4,None,TRUE,53,Remote,128,Met with advisor on 2022-10-02,138
S0050,yrodriguez,TRUE,10/3/22,FALSE,Auditory,Desktop and Wi‑Fi,270,260,103,108,International,TRUE,None,None,None,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Standard,SMS,130,4,FALSE,Very Satisfied,TRUE,FALSE,59,99,FALSE,Positive,3,345,FALSE,49,TRUE,Roommate: Jane Smith,1/1/00,3,None,FALSE,54,On‑Campus,129,Met with advisor on 2022-10-03,139
